,index (ignore),SOC code (occupation label),"Income (Yscore weighted with importance, formula in report)",Satisfaction,Learnability,Security,score (mean of the 4),color,Career Cluster,Career Pathway,Occupation
92,844,29-1171.00,3390.791423,590.309444,-2804.37406,2712.206641,972.2333619,0.789592685,Health Science,Therapeutic Services,Nurse Practitioners
93,824,29-1122.00,3367.577502,590.0636311,-2797.342811,2728.099605,972.0994819,0.789430001,Health Science,Health Informatics,Occupational Therapists
94,825,29-1122.00,3367.577502,590.0636311,-2797.342811,2728.099605,972.0994819,0.789430001,Health Science,Therapeutic Services,Occupational Therapists
95,116,11-9199.08,3351.088758,583.4741803,-2756.097253,2709.825535,972.072805,0.789397584,"Law, Public Safety, Corrections and Security",Security and Protective Services,Loss Prevention Managers
96,114,11-9199.04,3352.780532,577.8341835,-2768.982223,2706.419547,967.01301,0.783249184,"Transportation, Distribution and Logistics",Warehousing and Distribution Center Operations,Supply Chain Managers
97,391,19-2012.00,3476.934808,580.5629086,-2810.291393,2618.247826,966.3635375,0.782459979,Health Science,Health Informatics,Physicists
98,392,19-2012.00,3476.934808,580.5629086,-2810.291393,2618.247826,966.3635375,0.782459979,"Science, Technology, Engineering and Mathematics",Science and Math,Physicists
99,35,11-3031.02,3356.027107,580.3827382,-2794.796904,2723.497684,966.2776564,0.78235562,Finance,Financial and Investment Planning,"Financial Managers, Branch or Department"
100,34,11-3031.02,3356.027107,580.3827382,-2794.796904,2723.497684,966.2776564,0.78235562,Business Management and Administration,Business Financial Management and Accounting,"Financial Managers, Branch or Department"
101,33,11-3031.02,3356.027107,580.3827382,-2794.796904,2723.497684,966.2776564,0.78235562,"Agriculture, Food and Natural Resources",Agribusiness Systems,"Financial Managers, Branch or Department"
102,1070,41-9031.00,3381.589686,577.3915423,-2780.015997,2682.397562,965.3406983,0.781217078,"Marketing, Sales and Service",Professional Sales and Marketing,Sales Engineers
103,146,13-1081.01,3440.72533,579.5893848,-2739.820631,2579.345979,964.9600157,0.780754492,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Logistics Engineers
104,839,29-1141.02,3341.207917,586.2685151,-2820.494581,2750.74289,964.4311853,0.780111885,Health Science,Therapeutic Services,Advanced Practice Psychiatric Nurses
105,53,11-3071.03,3356.180492,575.0272157,-2729.933092,2655.90907,964.2959213,0.779947519,"Transportation, Distribution and Logistics",Logistics Planning and Management Services,Logistics Managers
106,153,13-1151.00,3333.742107,586.460976,-2798.279586,2732.456766,963.5950657,0.779095875,Business Management and Administration,Human Resources,Training and Development Specialists
107,82,11-9071.00,3317.824953,576.1962901,-2734.250997,2692.834413,963.1511649,0.77855647,Hospitality and Tourism,Restaurants and Food/Beverage Services,Gaming Managers
108,81,11-9071.00,3317.824953,576.1962901,-2734.250997,2692.834413,963.1511649,0.77855647,Hospitality and Tourism,"Recreation, Amusements and Attractions",Gaming Managers
109,21,11-2031.00,3351.242494,576.791361,-2785.371145,2709.096075,962.9396964,0.778299504,Business Management and Administration,Management,Public Relations and Fundraising Managers
110,43,11-3061.00,3321.548338,574.5898316,-2717.522968,2672.596397,962.8028996,0.778133276,Business Management and Administration,Management,Purchasing Managers
111,32,11-3031.01,3393.356555,573.9333159,-2774.276434,2655.282648,962.0740212,0.777247581,Finance,Financial and Investment Planning,Treasurers and Controllers
112,31,11-3031.01,3393.356555,573.9333159,-2774.276434,2655.282648,962.0740212,0.777247581,Business Management and Administration,Business Financial Management and Accounting,Treasurers and Controllers
113,12,11-2021.00,3355.438992,574.7229182,-2766.801352,2681.08812,961.1121695,0.776078789,Human Services,Consumer Services,Marketing Managers
114,11,11-2021.00,3355.438992,574.7229182,-2766.801352,2681.08812,961.1121695,0.776078789,Business Management and Administration,Marketing,Marketing Managers
115,14,11-2021.00,3355.438992,574.7229182,-2766.801352,2681.08812,961.1121695,0.776078789,"Marketing, Sales and Service",Marketing Information Management and Research,Marketing Managers
116,15,11-2021.00,3355.438992,574.7229182,-2766.801352,2681.08812,961.1121695,0.776078789,"Marketing, Sales and Service",Professional Sales and Marketing,Marketing Managers
117,13,11-2021.00,3355.438992,574.7229182,-2766.801352,2681.08812,961.1121695,0.776078789,"Marketing, Sales and Service",Management and Entrepreneurship,Marketing Managers
118,289,17-2081.01,3420.81189,572.9856215,-2736.377822,2586.084347,960.8760092,0.775791819,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Water/Wastewater Engineers
119,290,17-2111.01,3387.177038,582.0632689,-2746.016565,2617.089895,960.0784093,0.774822617,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Industrial Safety and Health Engineers
120,291,17-2111.01,3387.177038,582.0632689,-2746.016565,2617.089895,960.0784093,0.774822617,"Transportation, Distribution and Logistics","Health, Safety and Environmental Management",Industrial Safety and Health Engineers
121,813,29-1069.06,3340.334087,580.8441106,-2751.265053,2667.92143,959.4586436,0.77406951,Health Science,Therapeutic Services,Ophthalmologists
122,412,19-3031.01,3311.482208,582.3730296,-2817.681038,2758.907556,958.770439,0.773233239,Education and Training,Professional Support Services,School Psychologists
123,414,19-3031.01,3311.482208,582.3730296,-2817.681038,2758.907556,958.770439,0.773233239,Human Services,Counseling and Mental Health Services,School Psychologists
124,413,19-3031.01,3311.482208,582.3730296,-2817.681038,2758.907556,958.770439,0.773233239,Health Science,Therapeutic Services,School Psychologists
125,804,29-1064.00,3348.908165,584.0743745,-2790.827409,2687.758286,957.478354,0.771663164,Health Science,Therapeutic Services,Obstetricians and Gynecologists
126,67,11-9031.00,3283.542016,575.6791794,-2727.765073,2691.925549,955.8454176,0.769678905,Education and Training,Administration and Administrative Support,"Education Administrators, Preschool and Childcare Center/Program"
127,148,13-1111.00,3353.889158,575.5341244,-2787.346136,2679.903531,955.4951694,0.769253301,Business Management and Administration,Business Analysis,Management Analysts
128,149,13-1111.00,3353.889158,575.5341244,-2787.346136,2679.903531,955.4951694,0.769253301,Business Management and Administration,Management,Management Analysts
129,119,11-9199.11,3348.766606,568.0223164,-2697.943816,2600.24601,954.7727792,0.76837549,Business Management and Administration,Management,Brownfield Redevelopment Specialists and Site Managers
130,5,11-1011.03,3328.889581,573.7552118,-2744.503501,2660.366948,954.6270598,0.76819842,Business Management and Administration,Management,Chief Sustainability Officers
131,42,11-3051.06,3345.120797,577.0552293,-2655.175934,2549.155731,954.0389559,0.767483786,Business Management and Administration,Management,Hydroelectric Production Managers
