,SOC code,Median Pay,High Meaning,High Satisfaction
45,29-1199.00,91200.0,0.87,0.81
130,29-2011.00,49800.0,0.81,0.67
206,29-2012.00,32400.0,0.75,0.67
163,29-2021.00,66800.0,0.78,0.79
153,29-2031.00,48000.0,0.79,0.71
97,29-2032.00,59500.0,0.83,0.76
116,29-2033.00,71600.0,0.82,0.79
145,29-2041.00,31100.0,0.79,0.63
365,29-2051.00,20800.0,0.59,0.61
262,29-2052.00,27500.0,0.68,0.59
180,29-2053.00,28000.0,0.77,0.54
93,29-2055.00,39600.0,0.83,0.77
103,29-2056.00,29100.0,0.83,0.7
158,29-2061.00,39700.0,0.78,0.68
379,29-2071.00,33000.0,0.58,0.71
237,29-2081.00,33700.0,0.72,0.72
61,29-2091.00,50200.0,0.85,0.79
140,29-2099.00,37000.0,0.8,0.76
230,29-9011.00,65200.0,0.73,0.73
193,29-9012.00,70700.0,0.76,0.72
169,29-9091.00,40200.0,0.77,0.78
196,29-9099.00,48900.0,0.76,0.74
168,31-1011.00,21500.0,0.78,0.65
54,31-2021.00,50800.0,0.86,0.82
60,31-2022.00,24100.0,0.86,0.74
91,31-9011.00,40600.0,0.83,0.7
228,31-9091.00,33900.0,0.73,0.74
200,31-9092.00,28900.0,0.76,0.71
124,31-9093.00,31500.0,0.82,0.68
389,31-9094.00,30400.0,0.58,0.71
198,31-9099.00,39000.0,0.76,0.7
334,33-3012.00,34800.0,0.62,0.55
154,33-3021.00,67300.0,0.78,0.74
132,33-3051.00,46400.0,0.81,0.65
349,33-9021.00,37700.0,0.6,0.73
572,33-9032.00,25300.0,0.49,0.53
329,33-9092.00,18700.0,0.62,0.57
484,33-9099.00,33400.0,0.52,0.64
563,35-1011.00,41900.0,0.49,0.65
864,35-2011.00,17800.0,0.28,0.48
376,35-2012.00,23700.0,0.59,0.61
827,35-2014.00,22500.0,0.33,0.51
804,35-2015.00,20600.0,0.36,0.45
665,35-2021.00,21200.0,0.44,0.61
840,35-3011.00,28600.0,0.32,0.61
829,35-3021.00,19000.0,0.33,0.46
833,35-3022.00,19800.0,0.33,0.55
845,35-3031.00,20500.0,0.3,0.56
832,35-9011.00,19400.0,0.33,0.39
861,35-9021.00,18300.0,0.29,0.4
828,35-9031.00,19200.0,0.33,0.56
400,37-2011.00,23800.0,0.57,0.65
439,37-2012.00,21100.0,0.54,0.55
303,37-2021.00,31600.0,0.64,0.53
324,37-3011.00,23500.0,0.62,0.71
412,37-3012.00,31300.0,0.56,0.47
364,37-3013.00,36900.0,0.59,0.75
888,39-1011.00,46400.0,0.2,0.77
246,39-2021.00,24700.0,0.7,0.67
442,39-3091.00,24100.0,0.54,0.7
107,39-4011.00,42500.0,0.82,0.7
380,39-5012.00,25600.0,0.58,0.7
440,39-5091.00,36800.0,0.54,0.8
831,39-6011.00,22800.0,0.33,0.53
618,39-6012.00,29300.0,0.47,0.71
65,39-9031.00,39800.0,0.85,0.71
72,39-9032.00,32800.0,0.85,0.76
164,39-9041.00,32200.0,0.78,0.6
825,41-2011.00,18400.0,0.33,0.47
878,41-2021.00,26500.0,0.26,0.43
785,41-2022.00,37100.0,0.37,0.62
810,41-2031.00,24500.0,0.35,0.55
770,41-3011.00,44300.0,0.38,0.69
589,41-3021.00,38200.0,0.48,0.67
729,41-3031.00,49400.0,0.41,0.67
662,41-3041.00,39300.0,0.44,0.65
742,41-3099.00,49400.0,0.4,0.67
766,41-4011.00,54500.0,0.38,0.67
790,41-4012.00,44200.0,0.37,0.73
257,41-9021.00,57900.0,0.69,0.67
649,41-9022.00,32000.0,0.44,0.69
620,41-9031.00,81300.0,0.46,0.74
621,41-9041.00,25600.0,0.46,0.5
581,41-9099.00,41200.0,0.48,0.67
409,43-2011.00,25600.0,0.56,0.74
611,43-3011.00,38800.0,0.47,0.71
705,43-3031.00,35500.0,0.42,0.7
456,43-3051.00,40600.0,0.54,0.75
694,43-3061.00,34500.0,0.43,0.63
830,43-3071.00,25200.0,0.33,0.57
868,43-4011.00,46700.0,0.27,0.59
414,43-4031.00,32700.0,0.56,0.74
666,43-4051.00,31300.0,0.44,0.61
223,43-4061.00,38700.0,0.73,0.68
697,43-4071.00,26500.0,0.42,0.62
698,43-4081.00,24700.0,0.42,0.56
298,43-4111.00,35400.0,0.65,0.61
362,43-4121.00,28400.0,0.6,0.7
708,43-4131.00,41300.0,0.42,0.65
745,43-4141.00,34400.0,0.4,0.58
761,43-4151.00,37400.0,0.38,0.58
477,43-4161.00,39400.0,0.53,0.73
462,43-4171.00,25900.0,0.54,0.65
842,43-4181.00,30100.0,0.3,0.7
660,43-5011.00,40900.0,0.44,0.64
408,43-5021.00,29300.0,0.56,0.65
68,43-5031.00,37100.0,0.85,0.74
676,43-5032.00,36500.0,0.44,0.63
307,43-5052.00,40200.0,0.63,0.6
735,43-5061.00,47400.0,0.4,0.67
834,43-5071.00,29300.0,0.32,0.55
799,43-5081.00,25400.0,0.36,0.56
612,43-5111.00,32100.0,0.47,0.71
743,43-6012.00,46300.0,0.4,0.72
243,43-6013.00,29900.0,0.71,0.68
679,43-9011.00,42600.0,0.43,0.64
574,43-9021.00,27100.0,0.49,0.61
549,43-9022.00,33700.0,0.5,0.65
758,43-9031.00,51500.0,0.39,0.57
737,43-9041.00,34300.0,0.4,0.66
669,43-9051.00,28100.0,0.44,0.65
513,43-9061.00,31300.0,0.52,0.67
681,43-9081.00,40300.0,0.43,0.72
535,43-9111.00,58000.0,0.51,0.7
393,43-9199.00,38100.0,0.57,0.72
751,47-2011.00,56700.0,0.39,0.65
394,47-2021.00,47900.0,0.57,0.52
381,47-2031.00,42700.0,0.58,0.6
395,47-2041.00,36400.0,0.57,0.69
692,47-2044.00,41200.0,0.43,0.52
332,47-2051.00,41100.0,0.62,0.57
633,47-2061.00,33100.0,0.46,0.51
398,47-2073.00,41000.0,0.57,0.65
592,47-2081.00,38100.0,0.48,0.64
382,47-2111.00,47400.0,0.58,0.67
525,47-2121.00,39700.0,0.51,0.6
617,47-2141.00,33000.0,0.47,0.62
310,47-2152.00,47600.0,0.63,0.62
670,47-2181.00,34900.0,0.44,0.55
495,47-2211.00,42400.0,0.52,0.65
327,47-3013.00,28200.0,0.62,0.5
220,47-3015.00,42500.0,0.74,0.64
268,47-4011.00,50000.0,0.67,0.74
569,47-4099.00,33300.0,0.49,0.45
137,47-5012.00,60400.0,0.8,0.93
725,49-2011.00,35800.0,0.41,0.59
416,49-2022.00,44400.0,0.55,0.75
251,49-2091.00,49700.0,0.7,0.67
240,49-2094.00,59100.0,0.72,0.75
576,49-2097.00,34200.0,0.48,0.81
186,49-2098.00,42700.0,0.76,0.62
278,49-3011.00,49600.0,0.65,0.64
813,49-3021.00,37200.0,0.35,0.58
794,49-3023.00,36500.0,0.36,0.52
538,49-3031.00,43800.0,0.51,0.68
640,49-3042.00,46400.0,0.45,0.69
769,49-3052.00,34000.0,0.38,0.62
837,49-3053.00,30500.0,0.32,0.6
719,49-9011.00,36300.0,0.41,0.82
305,49-9021.00,43800.0,0.63,0.67
655,49-9031.00,38000.0,0.44,0.47
704,49-9041.00,46500.0,0.42,0.67
534,49-9043.00,30300.0,0.51,0.67
772,49-9044.00,52400.0,0.38,0.73
258,49-9051.00,56000.0,0.69,0.65
374,49-9052.00,44300.0,0.59,0.76
209,49-9062.00,45100.0,0.75,0.66
547,49-9071.00,38100.0,0.5,0.64
693,49-9093.00,24800.0,0.43,0.78
